Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Min Deviation,Max Deviation,Min Exposure,Max Exposure,Name,Min,Ur,Fd,Value
41843-9621,C,Brook,Brook Lopez,Lopez,21.07,26,4500,LAL@MIL,MIL,LAL,,,,,,,0,Brook Lopez,23.8,15.75,21.07,4.682222222
41843-55059,C,Clint,Clint Capela,Capela,41.2,23,9100,HOU@LAC,HOU,LAC,,,,,,,,Clint Capela,34.1,15.67,41.2,4.527472527
41843-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,22.11,25,5400,LAL@MIL,MIL,LAL,,,,,,,0,Donte Divincenzo,25.9,14.82,22.11,4.094444444
41843-9561,C,DeAndre,DeAndre Jordan,Jordan,22.23,24,4700,BKN@SA,BKN,SA,,,,,,,0,DeAndre Jordan,20.6,14.73,22.23,4.729787234
41843-23294,SF,Danuel,Danuel House,House,21.23,21,4300,HOU@LAC,HOU,LAC,,,,,,,,Danuel House,31.4,13.26,21.23,4.937209302
41843-12474,PG,Patrick,Patrick Beverley,Beverley,23.63,25,4300,HOU@LAC,LAC,HOU,,,,,,,,Patrick Beverley,27.6,12.26,23.63,5.495348837
41843-18338,PF,Royce,Royce O'Neale,O'Neale,21.89,27,4300,UTA@ATL,UTA,ATL,,,,,,,0,Royce O'Neale,31.8,10.78,21.89,5.090697674
41843-23407,PF,P.J.,P.J. Tucker,Tucker,23.53,27,4700,HOU@LAC,HOU,LAC,,,,,,,0,P.J. Tucker,34.3,10.34,23.53,5.006382979
41843-23981,PG,Alex,Alex Caruso,Caruso,14.08076947,26,3900,LAL@MIL,LAL,MIL,,,,,,,0,,,,,
41843-15814,C,Alex,Alex Len,Len,24.58,27,4300,UTA@ATL,ATL,UTA,,,,,,,0,,,,,
41843-15501,SG,Allen,Allen Crabbe,Crabbe,11.50625038,16,3500,UTA@ATL,ATL,UTA,,,,,,,0,,,,,
41843-111492,PF,Amir,Amir Coffey,Coffey,0,0,3500,HOU@LAC,LAC,HOU,,,,,,,0,,,,,
41843-15592,PG,Austin,Austin Rivers,Rivers,15.39599976,25,3800,HOU@LAC,HOU,LAC,,,,,,,0,,,,,
